,Sentence,encoded_label
0,새로 온 팀장이 나한테만 일을 떠넘기려고 해서 환멸이 나.,3
1,아이폰 니도 리콜해야것다!!!,1
2,고등학교 동창 이었어 고등학교 때만 해도 이렇게까지 이기적이지 않았거든.	,4
3,모르겠어. 너무 힘들어. 다른 사람들도 많은데 나한테만 일을 시켜.,1
4,고지혈증으로 병원 신세를 지게 되었어. 고기를 진작 줄일걸 후회 중이야.,3
5,다행이 내가 큰 병이 아니라서 병원비는 매달 나오는 연금으로 충분히 메꿀 수 있을 것 같아.,1
6,종북 운운하더니~~ 북한과 다를바없네ㅠㅠ,1
7,팸식구들과 밥먹고~ 지금은 피씨방이라죠~~ㅋㅋ,5
8,아빠. 미워!! 배신자!!!,1
9,파쇄기가 막혀서 꼼짝도 하지 않아요.,4
10,박근혜지지자들 끝까지 지지해라,4
11,"아, 그러셨어요? 그럼 제가 같이 가서 확인해 드리겠습니다.",4
12,개공장을 다 폐쇄해라.,1
13,난 가도 상관없는데.,4
14,단톡방에서 아는 사람이 추천해줘서 주식을 시작했어.,3
15,엄마한테 대쉬했다며? 그래서 어떻게 됐어?,4
16,홈페이지에 들어가 보시면 자세하게 설명되어 있습니다. 제가 설명 드린 대로 해 보시고 또 궁금한 점이 있으면 전화 주세요.,4
17,주말에도 계속 일을 하느라 친구들을 만나지를 못해서 너무 안 좋아.,1
18,엄마가 매일 붙잡고 이야기하셔.,3
19,어떻게 말씀드려야 할지 모르겠어.,3
20,"어떻게 안 불러요? 그럼 저기요, 저기, 계속 이래요?",4
21,나라가 망하고 없어져야 잘못했다 할거냐 이 michin yeon,1
22,아시아가 갈색? 옆동네 중국은 모르겠지만일본은 흰색이던데?ㅋㅋ,0
23,"어라, 마네킹이 입고 있을 땐 이뻤는데? 돌아봐봐.",4
24,니 어머니 성격 몰라서 그러니? 이젠 아주 지겹다. 더 이상 참고 봐줄 수가 없어! 니 어머니하고 나는 처음부터 맞지 않았어!,1
25,그런데 이번 여행의 목적이 우리 나라를 세계에 알리기 위한 작은 실천이라고 하셨는데 구체적으로 어떤 내용이었습니까?,4
26,오늘은 너의 말대로 산책을 하면서 우울한 마음을 털어버려야겠어.,4
27,교회 11조 카드로 가능한가요? 진심 궁금 하내,4
28,가만 내가 가볼까.,4
29,마누라가 일찍 들어오라는데 무슨 일일까? 내가 뭐 잘못했나?,2
30,너무 자책하고 있었어.,3
31,래. 나 상사하고 한번 잘 얘기해볼게.,1
32,친구가 자꾸 심심하다고 징징거려서 짜증 나.,1
33,나도 건강은 걱정이 되는데 요즘 너무 바빠서 병원을 못 가고 있어.	,2
34,지워봐야겠다. 아 이 곰팡이 때문에 너무 머리가 아파.,1
35,도서관에서 사진을 찍어 줄 거야. 그 사진으로 만들면 돼.,4
36,아니. 그렇지 않아.,4
37,몇 년 동안 취직을 준비한 곳이 있는데 이번에 탈락했어.,3
38,백화점에서 아내에게 선물해줄 목걸이를 고르고 있어.,2
39,올해 안에 꼭 취업하고 싶은데 면접은커녕 서류전형에서 계속 탈락했어.,1
40,내가 그렇게까지했는데. 자네. 정녕. 이렇게 날 버리고 떠날 겐가? ,4
41,이제 오십 대 접어드니까 아픈 곳이 생길까 봐 무서워.,2
42,이번 주에 샌드위치 휴일이 있어서 너무 좋아.,5
43,전남친 숨김친구로 했다가 신경쓰여서 차단했는데차단친구 목록에 안떠요,2
44,여러 사람 앞에서 얘기하기가 너무 부끄럽고 당황스러워.,0
45,임마 왜 웃어? ,4
46,재산은.. 이제 저한테 아무 의미가 없어요. 그래서 뵙자고 했어요. 진범을 찾는 것도 그만 뒀으면 해서요.,4
47,아이... 아빠는...,1
48,친구들 중에 솔직하지 않고 가식적으로 행동하는 애들은 밉고 보면 짜증 나.,1
49,너도 아닌거 알지?,4
50,"아니, 요즘 다 왜 이러는 거지? 정말 이해가 안돼.",1
51,한 명이요.,5
52,친구들이 요즘 놀아주지 않아서 외로워.,0
53,친구가 며칠 전에 엄마가 됐어. 부럽고 초조해. ,2
54,결국 학교폭력 때문에 자퇴하고 말았어. 이겨낼 수 있을 줄 알았는데 너무 슬퍼.,3
55,자기 일이 있고 당당하게 직장을 다니는 남편이 부러워.,3
56,고등학교때 친구 소개로 만나게 되었지. 그러고 첫눈에 반한거야.,4
57,요즘 젊은 직원들은 도대체 이해할 수 없어.,1
58,"중요하지, 그럼! 에이 찜통에다 하니까 안되네... 그래두 익을줄 알았는데 안되나 아...?",4
59,장모가 글케 살빼라해도 맨날 먹을거만 찾음서 뭬이 충격..ㅡㅡ,6
60,아니 진짜 엄청 많이 무서워.,2
61,너무 내성적이라서 수업 중 모르는 것이 있어도 선생님에게 질문을 못하겠어.,2
62,강남역 말고. 갈만한 곳이 있을까?,3
63,이제 나도 늙어 가는데 돈은 부족해서 은퇴 후가 너무 걱정이 돼.,2
64,나 수학 시험 일등 했어. 너무 좋아.,5
65,자식들이 달마다 통장에 돈을 보내주겠대. 아내랑 내 노후자금으로 쓰라던데.,5
66,야 또나올려고 그래서 또 어기적 거리며 다리 쫙 벌리고 먼산 처다볼려고 그만나와 임마,1
67,환기를 시켜도 잘 없어지지가 않아. 청소를 내가 얼마나 열심히 했는데.,1
68,이야기할 사람도 없어.,3
69,"진정하세요, 진정하세요.",4
70,마감일까지 얼마 남지 않았는데 할 일이 너무 많이 남아서 초조해.,2
71,담당 선수가 평창 패럴림픽 기대주로 꼽히고 있습니다. 부담스럽지는 않으세요? ,4
72,저녁에 진짜 무서웠어.,2
73,많이 열약하고 환경적으로 부족하지. 상처 받은 유기견들은 갈 데가 없어.,3
74,유감이지. ,4
75,뭐...,4
76,애들이 호들갑 떨면서 건강에 대해 잔소리를 하는데 다 귀찮고 지겹기만 해.,1
77,그러게요. 병원 일 하면서 습관이 됐어요. ,4
78,사람들이 귀여울 때 잠깐 키우다가 버리는 경우가 대부분이래. 버려지는 반려견들을 보니까 너무 안쓰러웠어.,3
79,어제는 너무 놀라고 무서워서 잠도 못 잘 정도였는데 오늘은 좀 진정이 됐어.,0
80,그런데 저만 학생증이 있는데요.,4
81,혼자 하고 있어?,4
82,그래. 그 것도 괜찮을 것 같다. 친구들 못 만났으니까 신나게 먹고 놀아야겠다.,5
83,집에 있기 답답해서 그냥 나와서 무작정 걷고 있어.,3
84,결혼에 대해 느긋하게 생각해.,5
85,친구가 수익이 높다 해서 주식을 했는데 처참히 망했어.,3
86,넌 내가 말 안시킨다고 이틀 내내 너두 나한테 말 한마디 안하기냐?,4
87,"아니 물론 없지,",4
88,"여기 한번 왔었다면서, 어느 호텔에 묵었는지 몰라?",0
89,방에 있어.,4
90,엄마는 나랑 한 약속이 중요한 것 같지 않아. 너무 슬퍼.,3
91,"아아, 깜빡 하고 있었네?",4
92,3년 전에 회사에서 만났지.,3
93,아 다행히 다친 사람은 없어서 너무 다행이지.,0
94,"아까 선생님 만났을 때 얘기하셨어. 아, 무슨 다른 볼일 있어?",4
95,냄새 처리해보자.,6
96,닭순실에 정신팔려서 핸드폰 제대로 만들어겠냐?,1
97,왜 우리 아들들은 남들보다 공부를 잘하지 못하는지 생각하면 속상해.,0
98,…찬스니까?,4
99,20대초중반 여자들부터 아줌마한테서 까지멋있다,0
100,뭐가 웃겨요?,1
101,다른 부서에 평소에 나보다 예쁘지 않다고 생각하던 사람이 명품 옷을 입고 왔더라.,3
102,나왔다가 그냥 갑자기 당신이 보고 싶어서요.,4
103,자식에게 잘해 줘봐야 아무런 소용이 없어.,2
104,이런인간이 변호사라니~양심은 쓰레기통에 갖다버리셨나?,6
105,스트레스는 몸에 좋지 않다고 해서 마음을 편하게 가지고 싶은데 그러기가 힘들어.,2
106,여보..졸리지? 내가 운전할까?,4
107,뭘 그렇게 하루종일 먹어?,4
108,오늘 날씨가 좋아서 산책하러 나갔어. 요즘 부쩍 살이 쪄서 걱정이거든.,0
109,"뭐, 일단 도와줘 보는 것도 괜찮지 않겠어?",4
110,남편이 빨리 아기를 갖자고 졸라서 너무 난감해.,2
111,친구가 물건을 훔치는 걸 봤는데 어찌해야 할지 고민이야.,0
112,좋은 사람이라고 생각했던 복지관 사람이 내 뒷담화를 한다는 걸 알고 너무 슬퍼졌어.,3
113,아뇨. 일은 잘 됐어요?,4
114,제주도가 중국 자치령이 될 것 같다.,6
115,그게요...뭐... 성격 차이죠...,4
116,체력이 예전 같지 않아서 일하는 데 힘에 부쳐.,2
117,"진짜 나를 위한다면, 그렇게 일벌리지 말고 조용히 얘기해줬어야지. 내가 아까 얼마나 속상했는 줄 알아? 그래, 나 자궁 아파. 근데 그거 한편으론 알리고 싶고, 한편으론 숨기고 싶어. 여자한테 자궁이 얼마나 중요한 건지 몰라?",3
118,일이 많아서 야근도 많은데 거기다 일을 더 자꾸 주니까 너무 힘들어서 회사 다니기 싫어.,1
119, 노무현때 자주국방 2030도 일마가 만든건데.,1
120,나 프로젝트 완전히 끝냈어!,5
121,일주일에 다섯번에서 여섯번은 드시는 것 같애.,2
122,딱히 그렇지도 않아요. 학생회 선거 같은 것도 아직 남아있으니까요.,4
123,시대가 어느땐데 아직도 아들딸 인생을 지들 소유물로 생각하고있냐ㅠㅋㅋㅋ,6
124,오빠!,4
125,내 앞에서 온갖 친한 척을 다 하던 직장 동료가 뒤에서는 내 뒷담이나 하고 있었어.,1
