,Sentence,encoded_label
0,음악 추천해줄 수 있는 거 있어?,5
1,이걸로 걸을수는 있어도 빨리뛰면 위험합니다 . .,2
2,저도 마셔요. 블랙으로. ,4
3,뭘요. 그냥 노인 분들 머리를 잘라 드리고 있어요.,4
4,주변에 다들 취업하는데 나만 취업을 못 해.,0
5,구슬 멀리 두지 않았어. 가까이 있어.,4
6,내 진로를 말해도 부모님은 인정을 안 해줘서 슬퍼.,3
7,오늘 백화점에 갔는데 직원에게 무시당해서 너무 화가 나.,1
8,이게 만약 대통령이 독재를 이어가기 위한 쇼였다면...,1
9,매미때랑 비슷하네.... ㅎㄷㄷㄷㄷ,2
10,룸메이트와 너무 자주 싸우게 돼.,3
11,"그래, 그게 좋겠다.",4
12,이제 노인정 실내에서 흡연을 금지하기로 했어. 담배 냄새가 안 나서 행복해.,5
13,집에서 뭘 하면은 기분이 나아질까?,3
14,친구와 다닐 때 친구가 큰 소리로 말하면 모르는 사람인 것처럼 떨어져 걷게 되더라고.,0
15,사실 나 아직 레스토랑 갈 능력 안돼. 아직은 이 정도가 내 수준이지.,4
16,어서 앉으세요. 어디가.,4
17,희한하게 결승선을 통과하는 순간 힘든 게 싹 사라지더라고.,5
18,환갑이 넘은 친구들 때문에 너무 당황했어.,0
19,구라청 덕분에 방콕,1
20, 큰선물 해주셔서 고마워요~!.,5
21,엄마한테 방금 화를 냈는데 너무 후회하고 있어.,0
22,"알고 있다고 생각했는데, 역시 인기 있는 게 마냥 좋진 않네요.",4
23,최근엔 김수용 최고였음 ㅋㅋ,5
24,제가 상처받기 싫으면 연락 그만 해야 되는거죠??,3
25,"별똥별. 오늘 별똥별이 떨어진대. 아아, 큰 일이네? 새벽에 생방 있는데...",4
26,제가 먼저 헤어지자고 하고알겠다고 하고 끝났어요,3
27,근데 혹시 말야.. 너하구 내가... ,4
28,야. 오늘 짭새 개 많더라. 아까.,4
29,요즘은 아버지가 어린이집 일에 더 열성이셔. 재단 만들고 애착이 더 가시나봐.,4
30,당분간 암수구별송 들을일도 없겠네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5
31,김 씨는 고혈압이라 말로는 기름진 음식 안 먹는다고 하면서 노인정에서 전 먹을 때는 가장 많이 먹는데 한심해.,0
32,김재현화이팅,5
33,오늘 면접에서 떨어졌어.,3
34, 더클수는 없는걸까요..,2
35,나 오늘도 최종 면접에서 떨어졌어. 나는 안 되나 봐.,3
36,무슨 소리야? 가는 데까지 태워다 줄게. ,4
37,누구...야?,4
38,낚시도 했어요? 저는 얼음 낚시가 제일 하고 싶은데…….,4
39,니 섀끼 하나 때문에 성탄절 분위기도 안나고 초상집이 따로없다,1
40,너~무 피곤해서요. 흐흐... ,4
41,항상 아픈 날 돌봐준 남편이 병에 걸렸는데 돈이 없어서 치료를 못했어.,3
42,길거리에서 아내와 싸웠는데 사람들이 수군거리길래 자리를 떴어.,0
43,일부러 꿔준다고도 하잖아. 이자받아 먹으려고. 쯧쯔.,4
44,"네,",4
45,내가 운전하던 중 차 사고가 났는데 아내만 입원했어. 너무 미안하고 당황스러워.,0
46, 윤종신목소리?,0
47,무릎치료에 줄기세포를 이용한 치료가 효과가 있다는 말에 비용을 알아봤더니 천만 원이라고 해서 난 포기했어. 슬프다.,3
48,결혼식 날짜를 잡아놨는데 코로나 때문에 못 하게 생겼어. 화가 나.,1
49,친구들 사이에서 항상 나만 소외되는 기분이야.,3
50,요즘 걱정이 생겼어.,2
51,미치겠네 진짜......왜대통령했는거야 도대체.......니가 무슨 일본왕족이야 뭐야 얼굴마담이야? 하........가슴이 턱턱 막힌다,0
52,최근 갑자기 다니던 직장을 그만두게 되어서 앞으로 어떻게 살아가야 할지 막막해.,3
53,그럼 이건 뭐라 읽는 건가요?,4
54,"됐다, 이놈아. ",4
55,난 언제나 내 뒤에서 날 지지하고 신뢰하는 엄마 아빠가 계서 너무나 든든해.,5
56,저놈 지금 지옥에서 팔딱팔딱 영원히,1
57,건강관리를 하려고 자전거 동호회에 가입했어. 근데 지금 배보다 배꼽이 더 큰 상황이야.,0
58,내가 아프다는 사실을 알고 친구들이 연락을 피하는 것 같아 버려진 기분이야.,3
59,장례를 지금 알아보고 있어.,4
60,결혼을 못 할 줄 알았던 딸이 좋은 사람을 만나 결혼하게 되어서 정말 안심이야.,5
61,주식이 계속 떨어지고 있어서 어떻게 할지 고민이었는데 너의 말대로 해봐야겠어.,3
62,난 하지 않았어.,5
63,응 가게에 전화해서 환불 받았어. 사진도 보내줬고.,6
64,응? 아，괜찮아. 너가 나한테 뭔가 부탁하다니 드문 일이고.,0
65,이거 완전 워터월드 !,0
66,어제 옆 테이블에서 밥먹던 사람들은 놀래서 넘어지고 그 와중에 내 친구는 발까지 삐었어.,4
67,그럼 홍콩에서 아예 사시는 거예요?,4
68,"야, 도련님!... 인나, 전화… 너, 또 비디오 연체했니?",4
69,내 친구들을 만나고 오면 기분이 좋아. ,5
70,더구나 지금 자매님이 재혼해버리면 난 누구랑 사나요? 누가 나에게 일용할 양식을 주냐구. ,4
71,친구가 나에게 잘못했기떄문에 먼저 사과하는데도 받아주기가 싫어.,1
72,얘가 너무 안치워! 너무 어질러 놔. 처음 살 때부터 그랬다니까?,6
73,여자 친구가 화가 난 상태로 헤어졌어.,3
74,벌써 기다린지 1시간째야.	,6
75,근데...왜..이제 왔어.,3
76,의사가 남편의 치료를 포기하자고 했어. 너무 속상해.,3
77,너 선생님을 상대로 무슨 야한 상상을 한 거야.,4
78,국민들은 절대 지치지 않을겁니다,4
79,하루 종일 일을 열심히 해도 입에 풀칠도 못하는 수준이라 너무 슬퍼.,3
80,요즘 탈모 소리를 많이 들어서 위축이 돼.,0
81,이십 대부터 노후를 준비하고 재테크를 한 것은 올바른 선택이었어.,5
82,지금도 가슴이 뛰어.,0
